time,predict_value1,predict_value2,real
2021-01-01,85.33972089389525,93.76406575372403,64.0
2021-01-02,89.55681412467885,94.43194058659226,86.0
2021-01-03,81.973726292978,94.22173459039831,71.0
2021-01-04,76.3055844603454,86.9957425668618,82.0
2021-01-05,68.45490053854128,85.10615773383846,89.0
2021-01-06,82.20892843639238,89.72764756228831,110.0
2021-01-07,68.10322534700641,65.07271735660235,41.0
2021-01-08,73.34745797897061,75.52318787923414,41.0
2021-01-09,66.03276573486039,74.57081788617398,43.0
2021-01-10,55.393172147853775,66.61722649000572,44.0
2021-01-11,59.80259257433819,59.72193593020501,50.0
2021-01-12,81.81412580959089,85.16355720601786,66.0
2021-01-13,83.39328594944205,88.85967676328907,70.0
2021-01-14,66.64023663286144,78.17501779135435,142.0
2021-01-15,111.34157865509492,100.20116422977937,137.0
2021-01-16,111.69787161073596,116.19005772625209,123.0
2021-01-17,99.82720438798005,104.92411855919634,106.0
2021-01-18,103.61010152768428,115.7470353893043,78.0
2021-01-19,105.87915631637202,126.11166982669941,106.0
2021-01-20,96.8094640728399,97.06029227256063,90.0
2021-01-21,69.76594279885235,84.07118749548151,98.0
2021-01-22,112.98303341519117,106.84359788899428,46.0
2021-01-23,114.5562081353012,135.91900796845854,92.0
2021-01-24,89.50123875842779,83.24986973769799,107.0
2021-01-25,102.8946993034965,92.56927680166203,141.0
2021-01-26,125.95818161045369,110.86047883600662,185.0
2021-01-27,122.68436984046684,91.91802496653624,129.0
2021-01-28,94.64999731238095,87.0636456144461,99.0
2021-01-29,116.4640919824753,120.71736609897567,124.0
2021-01-30,130.21097778657418,129.35758793408124,119.0
2021-01-31,128.4810371972079,131.74207788792324,110.0
2021-02-01,105.93443398194263,109.1706776691125,100.0
2021-02-02,120.43684711275493,130.0411802747574,196.0
2021-02-03,155.45858949872058,118.62632418518825,131.0
2021-02-04,146.2469327308559,133.36830724149135,155.0
2021-02-05,149.7475884659383,132.79301519593514,119.0
2021-02-06,140.03536251803573,146.50549640868218,148.0
2021-02-07,141.1615383779734,137.14719451032326,127.0
2021-02-08,120.13139724983164,140.259634078379,131.0
2021-02-09,102.78559403846901,94.97270352541712,100.0
2021-02-10,40.857771495633905,45.95920738078561,61.0
2021-02-11,76.18814599095823,71.01935884542613,65.0
2021-02-12,86.27549991585342,99.1324129902244,90.0
2021-02-13,108.41612273217547,112.346753972791,94.0
2021-02-14,110.67540247649656,127.23923017718036,104.0
2021-02-15,123.04163287389247,128.6582228687163,111.0
2021-02-16,119.81174926436223,115.30543168556163,100.0
2021-02-17,105.53025168703168,103.92458666467259,107.0
2021-02-18,115.80159432903469,113.39518879661414,118.0
2021-02-19,123.54525043466833,127.26397849607856,146.0
2021-02-20,150.6161466644374,139.97562584711457,143.0
2021-02-21,141.8090331289405,133.22034092370615,136.0
2021-02-22,146.02851207473117,149.0795652469038,135.0
2021-02-23,133.35767225451818,141.5894181782931,167.0
2021-02-24,130.0721920784612,108.00037585337215,102.0
2021-02-25,78.26904031676034,92.13761260831373,70.0
2021-02-26,75.70377661118205,78.78460761669567,28.0
2021-02-27,36.66606215004768,66.1197288462378,14.0
2021-02-28,50.71757020447649,84.48339119339153,86.0
2021-03-01,69.55964965406659,54.14087565106127,52.0
2021-03-02,86.40312594676443,91.63696553851389,73.0
2021-03-03,89.31435215548922,91.46972388052382,58.0
2021-03-04,55.185828417222226,51.769311113050875,10.0
2021-03-05,39.71484159830771,57.064485454805606,47.0
2021-03-06,55.985256910759276,52.46854819033371,44.0
2021-03-07,52.9080822680357,57.551979368658095,32.0
2021-03-08,55.07196210767108,64.9442030674397,67.0
2021-03-09,95.75389622352533,105.5296938023987,114.0
2021-03-10,117.87941491293392,110.82776103949585,96.0
2021-03-11,94.14605377833095,99.32914063233447,92.0
2021-03-12,109.8362545256268,113.71988599506975,217.0
2021-03-13,133.41414344360845,93.91926870404691,93.0
2021-03-14,82.44476706538077,116.26692995381588,143.0
2021-03-15,122.39258319522175,98.23496692603727,110.0
2021-03-16,122.360682996688,111.160474500306,90.0
2021-03-17,100.76405750251196,93.47630790233241,85.0
2021-03-18,68.90031527413174,62.9099287512093,67.0
2021-03-19,78.08772920430631,78.67286132936565,69.0
2021-03-20,76.27371105386315,73.0219091872597,81.0
2021-03-21,66.96326225745995,60.93831880947801,46.0
2021-03-22,100.30680937634952,88.57693403630103,78.0
2021-03-23,105.65919570073514,92.59691199533593,56.0
2021-03-24,113.43090474755655,112.57928049125455,106.0
2021-03-25,129.70267119715464,118.04736002598426,144.0
2021-03-26,132.11524904220835,114.67800676964724,105.0
2021-03-27,82.8700881111817,89.5142318827413,84.0
2021-03-28,75.3406676741452,78.76183915954702,74.0
2021-03-29,80.91758771933463,82.34803051710121,45.0
2021-03-30,104.07875525557968,100.48894377293874,64.0
2021-03-31,65.81612057832938,74.46296176974046,51.0
2021-04-01,72.23048288091506,74.58560327249266,49.0
2021-04-02,90.78131133109477,89.35892808186577,60.0
2021-04-03,71.49475617704623,97.79992306290087,74.0
2021-04-04,64.52860880380936,65.18324640010474,52.0
2021-04-05,53.98364119569035,53.456446332700736,68.0
2021-04-06,76.6223169125874,81.75369304020553,161.0
2021-04-07,114.08665355042353,70.62849669695976,124.0
2021-04-08,81.06009303687507,78.35397222346451,82.0
2021-04-09,65.39181053839418,71.88043966468469,50.0
2021-04-10,90.17645660557035,109.13158261462804,138.0
2021-04-11,130.82949211627945,107.06885802608252,128.0
2021-04-12,115.32214724974017,121.00325198865373,84.0
2021-04-13,78.57125411913512,109.32040021499812,112.0
