time,predict_value1,predict_value2,real
2021-01-01,84.62310579667299,90.35101875017259,66.0
2021-01-02,90.48303340065969,95.83906940015902,68.0
2021-01-03,81.08214129416825,94.74905707850985,69.0
2021-01-04,60.09036065699222,72.47789394534469,70.0
2021-01-05,71.69906768984606,84.59598015574069,108.0
2021-01-06,61.874734729639314,62.65102153780048,95.0
2021-01-07,59.0362771850589,52.672108235727336,44.0
2021-01-08,57.41771259926196,50.91984649438111,51.0
2021-01-09,74.97692115133187,65.00148910812959,49.0
2021-01-10,55.53922649902585,60.586785099838096,42.0
2021-01-11,42.793762237635356,56.42721458485334,41.0
2021-01-12,77.31174043724855,79.42032890742973,72.0
2021-01-13,83.93870907995154,89.6650947997962,63.0
2021-01-14,67.40022287459385,84.4258835401329,88.0
2021-01-15,88.03133122502338,97.57813377022795,132.0
2021-01-16,70.00210091172517,65.84510695851054,162.0
2021-01-17,117.63412923262135,91.45324936839624,87.0
2021-01-18,96.81925153860435,120.6254811475625,89.0
2021-01-19,107.93019986186677,116.99518412380502,110.0
2021-01-20,67.57356812463716,90.2100585497322,74.0
2021-01-21,65.0867920783644,65.00788368665063,64.0
2021-01-22,92.67421340479667,87.94080691630143,56.0
2021-01-23,98.35472205697883,117.47169074455341,108.0
2021-01-24,109.18389125562844,88.75107068218759,90.0
2021-01-25,101.9799901749758,112.07067944252815,139.0
2021-01-26,103.00952938493663,83.71148657204476,117.0
2021-01-27,116.14965916381969,93.84249712966587,137.0
2021-01-28,114.50869312556713,94.58047181537658,81.0
2021-01-29,102.73924202882017,114.65263053988849,122.0
2021-01-30,132.4775025462728,127.1135087617416,158.0
2021-01-31,142.69375675896433,131.00335613226468,159.0
2021-02-01,154.39301588772418,142.9431392132498,151.0
2021-02-02,151.84257059950602,146.94168440325112,168.0
2021-02-03,147.56437397405554,140.22991604695758,151.0
2021-02-04,139.09422551721573,143.44691822588655,171.0
2021-02-05,159.26093013898694,146.1101460418274,143.0
2021-02-06,158.55527392615033,148.4638130689638,163.0
2021-02-07,148.23530704581563,148.0794875792041,168.0
2021-02-08,138.00609854455152,138.2373252689186,127.0
2021-02-09,88.66419672901084,89.01834404499354,62.0
2021-02-10,43.13370800413818,42.06083590872248,35.0
2021-02-11,67.22181636052095,81.0399248596715,73.0
2021-02-12,88.93841811604982,101.63564949675353,84.0
2021-02-13,104.26797703506675,106.77430147418511,96.0
2021-02-14,113.07062880203154,120.80432439349943,102.0
2021-02-15,129.20513645820753,147.6150805638245,127.0
2021-02-16,128.54056405674723,113.22450025747239,107.0
2021-02-17,112.14459073565861,113.84133047803078,97.0
2021-02-18,112.82091016834873,111.18268353671579,110.0
2021-02-19,125.31177000550963,123.73124081379243,137.0
2021-02-20,149.2339667560879,136.74105544288625,144.0
2021-02-21,150.5392041886877,142.94564537818286,159.0
2021-02-22,153.02209910107058,140.18676159815348,170.0
2021-02-23,172.50345989548364,165.33944959537845,202.0
2021-02-24,148.2092834828709,148.77928771246457,129.0
2021-02-25,82.83161719905485,101.47622111709508,66.0
2021-02-26,70.91590365746016,67.27032795986109,29.0
2021-02-27,35.04037866782625,58.98618662415976,21.0
2021-02-28,48.60058102699079,70.16488945245105,22.0
2021-03-01,57.978585747029626,59.903290382906036,56.0
2021-03-02,93.17330915151288,79.9639957835284,63.0
2021-03-03,63.83272558869759,73.48563978134332,32.0
2021-03-04,38.16936553994374,43.332462398090804,7.0
2021-03-05,35.44495306845886,50.09277385552773,7.0
2021-03-06,36.49920625708407,45.058261655824325,19.0
2021-03-07,32.886031296743475,33.74754740850251,48.0
2021-03-08,57.284527376533696,41.275748374203395,20.0
2021-03-09,51.303580782615356,55.87836202544471,87.0
2021-03-10,72.82580437788233,56.360751233416316,92.0
2021-03-11,90.5747268985701,85.80819914595334,78.0
2021-03-12,80.35388844736755,80.827518648339,159.0
2021-03-13,124.18842811322622,96.67751841253815,75.0
2021-03-14,90.47731663323634,96.70614298230511,143.0
2021-03-15,104.3014064733871,72.22958918897237,137.0
2021-03-16,110.05310427427949,83.93259309066497,120.0
2021-03-17,125.39748758527716,110.58709171459134,106.0
2021-03-18,87.91387142362817,76.83270168363407,100.0
2021-03-19,88.74246799886417,78.820326554715,90.0
2021-03-20,116.86654466895352,120.17298777379257,124.0
2021-03-21,60.29740668117367,46.21333901370007,46.0
2021-03-22,77.372617506879,72.75705339392326,85.0
2021-03-23,118.65596827776753,103.09622006823312,46.0
2021-03-24,132.37864223845608,121.16002187476221,79.0
2021-03-25,124.70650594749631,142.86227974989387,205.0
2021-03-26,159.02981170488948,142.26871313266767,144.0
