time,predict_value1,predict_value2,real
2021-04-14,91.07156409300637,93.19518243051428,115.0
2021-04-15,63.49857909825117,83.02416675456904,82.0
2021-04-16,60.16654772079764,62.35479109265134,73.0
2021-04-17,79.9773263285352,90.64892900852813,51.0
2021-04-18,66.81260260262651,63.028822262186885,113.0
2021-04-19,50.6465950426225,33.41605821929635,99.0
2021-04-20,103.43581112729744,89.55663455618313,69.0
2021-04-21,104.35150683274185,112.99945992837895,144.0
2021-04-22,129.0586096153061,126.77871986113973,151.0
2021-04-23,144.08017411751368,153.21299415121504,110.0
2021-04-24,114.04562986445222,120.64545530023352,139.0
2021-04-25,78.59414478020885,80.26742927927054,71.0
2021-04-26,68.0153109995998,87.00910824331464,68.0
2021-04-27,49.50323927739287,48.875386473616366,54.0
2021-04-28,57.64892834806308,49.06870334051133,34.0
