time,predict_value1,predict_value2,real
2021-01-01,74.70857290379983,68.4480727616779,56.0
2021-01-02,77.67341294205609,70.58575865307415,60.0
2021-01-03,70.5651906932608,77.34290580604174,72.0
2021-01-04,74.08517079422577,80.48045194462125,82.0
2021-01-05,71.4019354862696,76.62026220250671,102.0
2021-01-06,67.96241358513115,64.39746445275149,86.0
2021-01-07,62.605049985910085,55.31267900436528,28.0
2021-01-08,56.099478728880456,62.432020406914205,49.0
2021-01-09,73.20463696857419,72.77321389412549,67.0
2021-01-10,55.68689842138647,61.25005101036641,54.0
2021-01-11,61.77378390607314,60.16167206233587,54.0
2021-01-12,72.0995776946735,74.37932825953628,77.0
2021-01-13,76.15583690655868,78.09471290646603,60.0
2021-01-14,81.58561668771523,81.13718165344348,75.0
2021-01-15,88.19682353386041,99.8537643074866,100.0
2021-01-16,95.57139712232272,88.43525822425556,98.0
2021-01-17,75.464234866588,85.04740673441474,94.0
2021-01-18,91.1646136464652,98.4017602204586,77.0
2021-01-19,95.90889226372613,99.63298613974686,102.0
2021-01-20,96.44139372470575,92.62498612011065,99.0
2021-01-21,105.6797032789754,121.71753401185532,102.0
2021-01-22,97.67507036910342,115.09821228185875,91.0
2021-01-23,98.09226896278497,114.53880633991518,84.0
2021-01-24,88.46982963088399,105.97269945900867,101.0
2021-01-25,89.24187422677777,94.6827131638816,106.0
2021-01-26,95.35991676093614,94.20642498820756,88.0
2021-01-27,86.12440252435248,92.83999232555658,86.0
2021-01-28,85.41391885818675,83.19207000428811,80.0
2021-01-29,90.47648680479797,86.20868870585711,99.0
2021-01-30,104.81691603918746,103.13940405812409,126.0
2021-01-31,116.70389886692134,115.37176297509718,118.0
2021-02-01,111.51267690236304,107.51911050020239,97.0
2021-02-02,113.57896821952704,115.81544120420544,113.0
2021-02-03,106.86234669387947,103.6199777677023,128.0
2021-02-04,105.36280722682547,106.77317609362636,137.0
2021-02-05,111.5539424697902,114.30871445073316,118.0
2021-02-06,123.39515660453715,127.5696766120285,123.0
2021-02-07,125.11641545813431,124.47224153292939,123.0
2021-02-08,115.14921726884229,110.64846902585421,134.0
2021-02-09,61.07908025360716,68.71911475378728,87.0
2021-02-10,44.942994156789496,52.79721477896321,57.0
2021-02-11,33.756838543773654,31.359782493222525,45.0
2021-02-12,55.528627360910384,49.32687558350829,62.0
2021-02-13,58.687929075752386,50.17961722579218,76.0
2021-02-14,87.18761793362012,85.032254266997,75.0
2021-02-15,95.36419968795353,128.45676075265786,92.0
2021-02-16,99.56518214660363,103.14382253473805,101.0
2021-02-17,90.96111507108071,84.84266412102195,78.0
2021-02-18,96.38547586346525,103.62516100973276,93.0
2021-02-19,102.6981481975844,104.15807412059554,109.0
2021-02-20,122.73387791860904,124.60370001286228,113.0
2021-02-21,126.01016453816996,125.48182287866409,140.0
2021-02-22,136.10568743409135,136.12834314197684,142.0
2021-02-23,143.0299910750679,151.47409969887084,143.0
2021-02-24,136.80303535327354,130.71912390556082,123.0
2021-02-25,81.62319142332592,86.15845025521666,84.0
2021-02-26,71.61250121544255,78.60661990134874,54.0
2021-02-27,70.1123913637268,83.21367926823872,49.0
2021-02-28,79.83669837854019,98.38730667773764,59.0
2021-03-01,76.02324020828253,94.27051209828421,86.0
2021-03-02,92.3110631566964,85.0840816823092,65.0
2021-03-03,62.50418698436498,74.81353055243352,53.0
2021-03-04,34.61309053144802,36.255330189999796,35.0
2021-03-05,54.611606650454696,53.01856532189335,32.0
2021-03-06,62.255092510242505,71.94985586687721,67.0
2021-03-07,58.4985365730203,52.75564517947354,41.0
2021-03-08,61.65508017011654,79.55586374421954,59.0
2021-03-09,63.77418530878265,72.29108479363923,92.0
2021-03-10,76.8042558825124,76.13853749436966,105.0
2021-03-11,94.214526338849,81.13054707287951,102.0
2021-03-12,78.39270215081035,68.54092541466301,80.0
2021-03-13,69.34138909542543,75.84050331145095,86.0
2021-03-14,93.96350668520982,103.05522761952942,119.0
2021-03-15,127.32441710887089,100.552552847781,112.0
2021-03-16,105.11425651280904,100.97407678945972,109.0
2021-03-17,120.33019187878516,109.45156591687415,107.0
2021-03-18,103.34796827381402,101.53403080914592,101.0
2021-03-19,80.06274210170143,75.29201858344402,90.0
2021-03-20,84.4703836031047,85.412143595291,120.0
2021-03-21,62.92818048615654,47.00918542345725,66.0
2021-03-22,42.71002826575377,47.47264279806489,70.0
2021-03-23,75.56211183813912,80.14720618060771,42.0
2021-03-24,93.42985174184204,90.99777499667401,94.0
2021-03-25,114.75329155080732,111.57158377994769,128.0
2021-03-26,134.67665884338302,129.84764321138755,124.0
2021-03-27,118.0908480121941,97.51229161636029,103.0
2021-03-28,110.57080089194703,113.0278022642236,125.0
2021-03-29,100.29927315165654,88.61615784936241,123.0
2021-03-30,122.65911401160173,117.84824368675609,79.0
2021-03-31,104.74477551562498,125.54008373269271,76.0
2021-04-01,107.63214279921652,120.89205682828793,77.0
2021-04-02,102.04130297553505,117.58036782265961,76.0
2021-04-03,100.69553921342164,115.71643457663309,127.0
2021-04-04,81.76893989065242,75.5527381664598,77.0
2021-04-05,78.83089816256759,92.20900739948172,68.0
2021-04-06,94.89661710343255,109.18681963042991,97.0
2021-04-07,85.63851442324356,88.317742860193,134.0
2021-04-08,56.66512020486536,55.530665095757044,89.0
2021-04-09,53.85424931472523,46.77501152934213,67.0
2021-04-10,86.27957698685783,101.76063926504735,128.0
2021-04-11,144.24850238203925,126.96627731374802,158.0
2021-04-12,155.5148576184358,161.86403659263325,99.0
2021-04-13,109.84271989137812,150.86146398245958,139.0
