time,预测值,predict_value2,real
2021-04-14,133.89338008689938,104.66377855791819,91.0
2021-04-15,71.36001674348101,65.05060319798869,65.0
2021-04-16,56.59027430506149,51.36624410545771,27.0
2021-04-17,52.80039734399489,71.54189895035204,60.0
2021-04-18,91.8648752210584,105.65411523107595,117.0
2021-04-19,109.49163417332232,107.80955703672538,144.0
2021-04-20,147.5872227706974,131.7092414597153,155.0
2021-04-21,176.60223295247152,121.362141858796,195.0
2021-04-22,179.14739134020502,123.57045306678513,176.0
2021-04-23,193.0405649627049,154.61871958089154,209.0
2021-04-24,137.1549263447046,113.85953005273973,120.0
2021-04-25,74.07658930574183,83.13751480838626,61.0
2021-04-26,55.50641104727436,69.72557404725683,47.0
2021-04-27,47.53867407808736,56.12860908231978,22.0
2021-04-28,35.76275243678002,54.48409441918595,17.0
2021-04-29,93.44402209053273,129.83321037796648,113.0
2021-04-30,164.08082552988375,145.35221441471572,262.0
2021-05-01,211.15925268796508,153.56926386960325,218.0
2021-05-02,144.94589674471982,137.95316987082455,120.0
2021-05-03,73.44123527639245,75.70706496509005,72.0
2021-05-04,84.2733425598138,82.99485643945766,92.0
2021-05-05,100.17368829009278,86.67554332094089,117.0
2021-05-06,126.11443684472611,80.60514435079541,143.0
2021-05-07,150.7916985693265,94.72198029230306,168.0
