time,预测值,predict_value2,real
2021-01-01,86.24951324535736,92.86709269467667,71.0
2021-01-02,88.48513543757433,93.14546213871986,75.0
2021-01-03,81.06890403863083,90.43864281402752,73.0
2021-01-04,67.93532788425917,74.84996848128536,82.0
2021-01-05,86.09772592446286,90.82024399796846,112.0
2021-01-06,77.59716491706219,68.8768581690501,107.0
2021-01-07,57.99552111321074,54.75441532592031,54.0
2021-01-08,72.01525096727418,65.6628052610043,54.0
2021-01-09,75.5927297243721,69.28295863487203,59.0
2021-01-10,58.14188459935533,59.39552273066046,55.0
2021-01-11,54.2430754169189,57.53934548357884,53.0
2021-01-12,76.37593805242112,82.07160674365491,77.0
2021-01-13,81.9237134468098,86.92548865239607,64.0
2021-01-14,84.82730283611731,91.84593199757713,74.0
2021-01-15,78.92807267607986,91.20360722127705,134.0
2021-01-16,80.76921821457448,71.13766872137087,147.0
2021-01-17,112.43629338126568,95.03607497806863,101.0
2021-01-18,109.14674856567306,111.6197762505599,95.0
2021-01-19,107.24044031215034,115.09935005364521,115.0
2021-01-20,65.42712464659714,95.12809659793857,92.0
2021-01-21,62.744037071228604,63.15029035154087,77.0
2021-01-22,87.59012100343456,88.88904345649347,52.0
2021-01-23,97.57031115424822,112.7378940881299,101.0
2021-01-24,94.44496046356743,92.54514512321263,112.0
2021-01-25,105.90768484487296,116.32744589170625,123.0
2021-01-26,94.88930146449772,93.49948225295272,105.0
2021-01-27,113.09537246267456,102.73510295123015,132.0
2021-01-28,105.82408788402954,96.99090509158823,81.0
2021-01-29,104.58467208870587,114.69557432405811,118.0
2021-01-30,126.18393374931699,121.26942430846533,147.0
2021-01-31,133.20934862008627,125.321485750112,155.0
2021-02-01,137.03128725287652,129.47728538261703,132.0
2021-02-02,135.3720708029249,134.55445066989037,146.0
2021-02-03,131.49403974644255,130.8548053891938,155.0
2021-02-04,136.13946803545733,133.5010998442885,174.0
2021-02-05,157.61241503579149,132.73067862462545,148.0
2021-02-06,144.90327846754525,148.25962117477053,166.0
2021-02-07,154.49648724635915,152.989800164749,167.0
2021-02-08,129.0072395074113,130.73865591565206,136.0
2021-02-09,89.2778575432852,80.18609550111948,70.0
2021-02-10,43.62259195415086,44.68609294598707,38.0
2021-02-11,61.73535317726543,73.6159255598572,65.0
2021-02-12,87.20819450897575,96.42325559875928,83.0
2021-02-13,103.09965561569253,99.13154500829093,93.0
2021-02-14,115.0375588469553,123.23234361775054,108.0
2021-02-15,129.29750016143262,138.4756608786118,120.0
2021-02-16,118.4154304926005,117.07794144510869,116.0
2021-02-17,110.34447158855305,111.30373681484505,94.0
2021-02-18,109.8673522426152,105.80518801258233,106.0
2021-02-19,125.36406093143391,120.18751293716743,131.0
2021-02-20,142.5852494197991,133.45751141236957,159.0
2021-02-21,154.3552828186538,135.900877793883,160.0
2021-02-22,157.37966917580744,145.57680624099658,167.0
2021-02-23,169.46532244682496,157.40667459483902,189.0
2021-02-24,154.7406323379599,147.40552551388234,137.0
2021-02-25,89.25830430318855,98.93707655582054,83.0
2021-02-26,73.1849968518423,65.50427837053806,18.0
2021-02-27,43.39133354203727,56.81777019968836,31.0
2021-02-28,51.4212761655426,62.0320661588586,49.0
2021-03-01,64.11009245419707,65.27924752877767,56.0
2021-03-02,78.62528906856802,73.95380416452055,66.0
2021-03-03,66.07067957003923,74.17807269882508,46.0
2021-03-04,44.86020384973941,53.189821437472915,9.0
2021-03-05,31.707087521092536,58.47531862031582,14.0
2021-03-06,35.79928699847447,41.03464303448512,19.0
2021-03-07,31.44078757638487,36.218655245649316,49.0
2021-03-08,59.94787913897083,43.727025114326224,40.0
2021-03-09,63.668667993191704,63.612491991316304,83.0
2021-03-10,78.43020885761945,73.62588476766183,100.0
2021-03-11,94.01948498059393,85.09269841814528,102.0
2021-03-12,87.96385420049874,80.23699245369048,139.0
2021-03-13,116.64253602655029,96.21789756597252,81.0
2021-03-14,99.07300611436239,99.81145609484189,136.0
2021-03-15,103.7451728072493,73.72724290081634,136.0
2021-03-16,120.62384928052538,90.33123293502102,123.0
2021-03-17,133.75101688922183,102.30391459972678,103.0
2021-03-18,90.8744733055386,75.55292563867134,95.0
2021-03-19,78.28446200610114,81.09235744335209,89.0
2021-03-20,113.78119259749042,115.2628854346196,107.0
2021-03-21,52.30343081789908,45.76438591762996,62.0
2021-03-22,59.48491576305446,71.83322900504336,86.0
2021-03-23,112.02759301701333,101.24547192346576,55.0
2021-03-24,124.12963381242704,122.68575014502954,84.0
2021-03-25,127.88808993754137,147.8185973432356,181.0
2021-03-26,159.5703367041586,134.09447515917918,135.0
2021-03-27,72.06717264186508,72.67605289569161,108.0
2021-03-28,88.55356916653369,73.60865757615935,135.0
2021-03-29,102.85358655023657,73.18689355703927,63.0
2021-03-30,109.66163380469547,110.25341321166604,83.0
2021-03-31,68.32222103027134,65.9360692438053,47.0
2021-04-01,107.0281138706201,112.7710674326542,64.0
2021-04-02,80.39001619949411,102.48857310646075,74.0
2021-04-03,114.47274734091994,105.81731867801234,107.0
2021-04-04,85.93276327757263,79.31394487373299,44.0
2021-04-05,89.1318787095477,93.9828926606526,63.0
2021-04-06,105.4571732507624,124.08151569341753,184.0
2021-04-07,108.72300894971724,93.40911782916214,128.0
2021-04-08,63.556378603890856,61.547673219078355,54.0
2021-04-09,72.36737205618273,69.10717257143094,69.0
2021-04-10,100.28008259142163,111.63837589528389,131.0
2021-04-11,156.77794562752695,144.03604271399303,169.0
2021-04-12,121.28179121385952,119.45129790899396,132.0
2021-04-13,134.7341990017904,136.11920206148628,162.0
