,city,precision
0,东莞,0.41818181818181815
1,中山,0.5454545454545454
2,云浮,0.5272727272727272
3,佛山,0.4727272727272727
4,广州,0.5636363636363636
5,惠州,0.6363636363636364
6,揭阳,0.6909090909090909
7,梅州,0.7454545454545455
8,汕头,0.7636363636363637
9,汕尾,0.5818181818181818
10,江门,0.41818181818181815
11,河源,0.8
12,深圳,0.6545454545454545
13,清远,0.5636363636363636
14,湛江,0.6909090909090909
15,潮州,0.7272727272727273
16,珠海,0.6545454545454545
17,肇庆,0.6
18,茂名,0.6727272727272727
19,阳江,0.5636363636363636
20,韶关,0.6727272727272727
