time,predict_value1,predict_value2,real
2021-01-01,89.76630937789386,96.62438814899376,77.0
2021-01-02,90.28090273672821,89.36318400536187,88.0
2021-01-03,95.98587918884749,95.73012174010401,79.0
2021-01-04,73.51699054606833,74.79352824878323,96.0
2021-01-05,106.11127522676223,100.88809905875416,114.0
2021-01-06,88.71666894110452,90.11464315283648,129.0
2021-01-07,75.47362667666289,62.283725716000205,54.0
2021-01-08,74.03641330214099,79.33509072240227,51.0
2021-01-09,82.10150384296537,77.17254547782541,60.0
2021-01-10,61.028562948775566,69.96844449957936,56.0
2021-01-11,60.70549475008481,67.23623247055089,54.0
2021-01-12,77.92342096585814,87.0522310101512,78.0
2021-01-13,84.80214382406531,86.63831159844413,99.0
2021-01-14,98.207366615364,96.41489477900556,158.0
2021-01-15,124.33823640428704,106.25303840931662,171.0
2021-01-16,133.69807240048146,124.99213071069141,199.0
2021-01-17,137.32297032650297,121.98802659988833,103.0
2021-01-18,123.7460724334641,128.9335831034624,104.0
2021-01-19,124.02773492534243,122.431513778431,151.0
2021-01-20,95.13332816077146,96.27458158561244,150.0
2021-01-21,103.31473826127757,89.67677357683466,100.0
2021-01-22,130.40445287514302,124.77862520972286,40.0
2021-01-23,115.19106049661696,143.94926219314422,102.0
2021-01-24,96.15313527972644,108.76618090104606,119.0
2021-01-25,112.79012799101082,117.3351567809804,164.0
2021-01-26,127.54867465727027,126.52307115717329,155.0
2021-01-27,129.83756030779722,119.49247630459622,162.0
2021-01-28,127.77311577969844,113.33662057399317,94.0
2021-01-29,106.11073325393383,119.50406538445739,148.0
2021-01-30,131.08114658388743,126.58958548264303,197.0
2021-01-31,152.57997909437702,139.33059438811034,163.0
2021-02-01,145.81875343047952,142.3217039597078,174.0
2021-02-02,170.40014967012317,148.370814920592,148.0
2021-02-03,150.62142117557016,153.33903191085815,176.0
2021-02-04,156.50562076879092,139.94355536925713,197.0
2021-02-05,163.63760632612141,145.35060847684366,162.0
2021-02-06,168.35099880961238,155.36584219165456,169.0
2021-02-07,165.1011300079162,153.07279383860413,179.0
2021-02-08,139.49561759275244,152.01232475601438,134.0
2021-02-09,97.64513318879835,89.15327935992816,80.0
2021-02-10,54.20968854197857,52.124939218992665,45.0
2021-02-11,66.82470505358806,78.44019043072912,56.0
2021-02-12,84.58212397841653,101.31652520906977,80.0
2021-02-13,102.96593514745615,104.88965811189792,93.0
2021-02-14,114.07318610772116,129.30438825096567,126.0
2021-02-15,148.9995963086793,142.11506486321866,120.0
2021-02-16,136.0568805074684,131.62593776985105,124.0
2021-02-17,113.3670010305506,111.00629639573398,91.0
2021-02-18,111.53613131243421,118.2894644087769,102.0
2021-02-19,119.24991410416219,121.18207295605546,134.0
2021-02-20,144.9461409679404,139.2658722484204,167.0
2021-02-21,154.69836197107605,135.4340919397564,145.0
2021-02-22,142.97253958384502,146.74969252634543,170.0
2021-02-23,170.99968326874327,147.66556063717633,199.0
2021-02-24,167.5886823198667,151.43724255878047,135.0
2021-02-25,101.97069864580698,96.03277857127425,108.0
2021-02-26,90.51740411741265,78.03093827864782,33.0
2021-02-27,52.84799100075004,71.31562952341467,31.0
2021-02-28,51.43517964553083,74.83934151693454,97.0
2021-03-01,88.58097855392501,82.1008973410306,78.0
2021-03-02,93.85030496198749,106.03533278867188,80.0
2021-03-03,110.04284932475957,107.34277994836924,109.0
2021-03-04,76.39528875985408,77.9272670547887,22.0
2021-03-05,51.174670244663595,76.93735654529024,52.0
2021-03-06,61.86180081518722,55.52652836434665,32.0
2021-03-07,56.196863393795056,73.18905391790805,47.0
2021-03-08,70.41510973169221,81.1361014226246,46.0
2021-03-09,88.049189601657,103.33231231126624,150.0
2021-03-10,138.54186747339452,116.42543907852516,118.0
2021-03-11,115.25755469032708,112.70423367519818,181.0
2021-03-12,140.11213743985127,115.82814070165227,159.0
2021-03-13,136.81873755664094,112.76817060014616,158.0
2021-03-14,129.1814453403422,89.21727439354916,171.0
2021-03-15,150.11285883057718,116.84150894243918,128.0
2021-03-16,140.67062179624492,129.43049098719248,126.0
2021-03-17,130.4652171009775,102.14811816765899,84.0
2021-03-18,75.55148697924672,76.77627897393758,91.0
2021-03-19,84.91881868487454,69.50933538571512,83.0
2021-03-20,89.9903352063056,93.33994835901854,126.0
2021-03-21,76.35131711247152,54.49429556430733,62.0
2021-03-22,80.69428101781594,87.31670348765513,85.0
2021-03-23,118.6306666811738,118.32861937175423,68.0
2021-03-24,120.58070272803582,120.28101537049314,77.0
2021-03-25,131.61360831891412,153.2976947311188,188.0
2021-03-26,168.88068544624005,128.2873760212926,140.0
2021-03-27,85.62338850979671,81.53007838713985,102.0
2021-03-28,78.4583219974566,72.30439025537292,143.0
2021-03-29,106.78153328370315,73.33639121292141,60.0
2021-03-30,70.86378072762231,91.38145725762672,76.0
2021-03-31,67.7152673169695,61.19836532189535,50.0
2021-04-01,66.08881316219792,77.14866870011076,59.0
2021-04-02,78.80190343413184,90.2613192333626,70.0
2021-04-03,94.61888136220745,104.67477657712499,96.0
2021-04-04,80.9254805092914,67.7347578437493,54.0
2021-04-05,58.68567570105958,64.38330244180564,89.0
2021-04-06,99.29608402077109,104.59165976258728,210.0
2021-04-07,123.01723302980079,83.37101401507937,137.0
2021-04-08,74.62017759203624,70.37538309382413,76.0
2021-04-09,90.09674301543139,97.78141012841542,86.0
2021-04-10,118.39175629274843,119.41727338470278,210.0
2021-04-11,172.07338964768434,143.26348116247917,164.0
2021-04-12,121.92590523466201,105.95039093641599,113.0
2021-04-13,123.97785672957549,118.8222175348342,152.0
