time,predict_value1,predict_value2,predict_value3,predict_value4,predict_value5,predict_value6,predict_value7,predict_value0,real
2021-01-01,50.20227800114113,62.68958063053815,56.481543034656234,68.21385258717655,51.6535148403144,61.799818811975065,57.904303007388926,60.463093151389636,40.0
2021-01-02,54.95564802481707,61.15586493076732,60.489656949151765,65.25422191923964,62.3529543513504,60.441372512169245,62.422881742210535,59.322583072261764,56.0
2021-01-03,61.444128400342635,67.86510667167785,74.28554655823793,71.65934502061181,68.54666427012496,69.02257875497999,75.07419365597161,65.48268118874131,66.0
2021-01-04,67.85912581879982,79.72373417968856,70.80210582444789,74.34244396370137,67.01221829022066,75.72661370318535,71.33711247233856,68.27895262721783,64.0
2021-01-05,66.3943869546036,80.60805167057254,74.72281260271856,77.19865375935585,78.16223273384794,79.7228102285904,81.57038350820059,77.12314014073888,65.0
2021-01-06,60.78139149927705,62.49640469155557,60.44100735474515,63.86864717231491,60.8638383481008,59.11995013691695,68.08717346624192,58.71958962309716,78.0
2021-01-07,59.15842935106318,54.125100612111744,48.26433691238373,53.90775196461748,52.213603089500175,52.608148204559456,60.51389909404612,55.07668417426032,105.0
2021-01-08,57.01040251297968,51.45673388871087,45.83644440432536,48.62638318718732,52.05584143080471,44.77229412311784,43.24608785063531,41.56289503673351,35.0
2021-01-09,49.30452851624238,60.37750031901343,51.710327484930154,55.377533898936974,49.69410339667095,45.492412722019345,49.479105045324836,49.37750674344069,49.0
2021-01-10,59.629070781161715,55.989869603233494,63.66684031553809,70.62666672814206,53.07437071012344,46.66590002896937,48.865266021259394,50.973573852309954,51.0
2021-01-11,52.58334463212981,50.46296236660902,51.499213129049025,56.54678711532281,53.701786648799825,51.6573095759461,53.45308996941948,50.65675416218301,44.0
2021-01-12,54.03168991641905,57.44638309517391,62.567789406355786,63.37642354223251,73.81613024196164,56.91457358962632,55.23373751053511,57.687874354196964,55.0
2021-01-13,56.660264895572396,67.62643855508499,62.90123267727652,73.1682161354761,61.2240944460687,73.14898286651302,61.031136190361046,67.84866055605791,64.0
2021-01-14,62.53349685370497,66.63429926238213,59.73986193869008,63.80610432685452,61.1342769265814,62.41667845627805,57.170358351599795,60.239651317118195,128.0
2021-01-15,88.12864946188648,70.41434578615763,71.60270617624296,80.66826241219302,73.99328728833282,74.79054468360573,73.07706300744123,79.63570800097007,72.0
2021-01-16,69.81644418632322,78.51054920239939,74.1176317564179,74.63288565830608,66.43248884503556,68.42544212746779,74.36006083537487,85.87235484624685,110.0
2021-01-17,83.19110456330529,65.98125877268774,82.17513825160769,58.877412614536006,65.43859465729308,64.13135654709218,59.77380035913533,59.148816096367135,79.0
2021-01-18,78.11357739167171,75.57869201290964,81.12150916060132,69.87856453660345,61.047091689130184,54.37068718738664,59.98261602611341,60.69515572029938,80.0
2021-01-19,73.89963858744599,67.33661667760734,82.07221742341268,85.88974644040651,80.83001540332958,65.7295294148989,61.6544221827137,65.30741623641204,81.0
