time,predict_value0,real
2021-01-01,50.84533768997698,41.0
2021-01-02,53.547913128702824,69.0
2021-01-03,62.40183763718845,94.0
2021-01-04,64.75555352274125,69.0
2021-01-05,71.91993687190882,67.0
2021-01-06,66.2762043695279,79.0
2021-01-07,59.20919281609012,72.0
2021-01-08,58.67296563709619,51.0
2021-01-09,56.06065306705994,49.0
2021-01-10,64.8126753866794,50.0
2021-01-11,74.27642300100584,54.0
2021-01-12,65.60566818541771,65.0
2021-01-13,56.970625097573496,103.0
2021-01-14,65.13470912515693,135.0
2021-01-15,85.8559489864879,129.0
2021-01-16,74.86420919812268,159.0
2021-01-17,64.18068752987443,97.0
2021-01-18,65.3240632794144,82.0
2021-01-19,62.20738921043382,107.0
2021-01-20,72.76222538515603,123.0
2021-01-21,72.78244052277304,92.0
2021-01-22,102.93062185991741,59.0
2021-01-23,105.54905056704861,65.0
2021-01-24,97.83756117070742,62.0
2021-01-25,80.76920518798482,83.0
2021-01-26,75.81922618643277,65.0
2021-01-27,69.11076304219358,81.0
2021-01-28,57.836016967339134,57.0
2021-01-29,62.626091713060376,69.0
2021-01-30,80.06278599448582,99.0
2021-01-31,82.43216080394356,100.0
2021-02-01,83.32798307622251,93.0
2021-02-02,85.95136484865549,108.0
2021-02-03,75.479338787545,93.0
2021-02-04,76.81652546099888,110.0
2021-02-05,69.1220990102162,86.0
2021-02-06,81.95010446865443,103.0
2021-02-07,73.82848297218182,108.0
2021-02-08,80.12227830514578,73.0
2021-02-09,54.43679959027693,35.0
2021-02-10,39.96829835147944,20.0
2021-02-11,47.43321944747009,37.0
2021-02-12,53.65733106189386,42.0
2021-02-13,68.21399511812632,48.0
2021-02-14,74.7246247915685,52.0
2021-02-15,83.16654180234208,73.0
2021-02-16,73.76299091305678,56.0
2021-02-17,69.82093749787062,49.0
2021-02-18,67.32635842368919,59.0
2021-02-19,74.95497908150476,81.0
2021-02-20,76.78102850955707,87.0
2021-02-21,81.67093063169773,100.0
2021-02-22,77.17215259431813,110.0
2021-02-23,91.68435099718909,139.0
2021-02-24,69.60462643083308,75.0
2021-02-25,48.82912023640775,38.0
2021-02-26,50.55440172050916,39.0
2021-02-27,37.33594701714534,32.0
2021-02-28,54.511557108484986,59.0
2021-03-01,51.37584111905727,79.0
2021-03-02,48.15007643071996,32.0
2021-03-03,53.081050938056514,48.0
2021-03-04,53.65288887046038,52.0
2021-03-05,71.96597064832335,68.0
2021-03-06,51.95229787729795,57.0
2021-03-07,41.741226250401155,34.0
2021-03-08,54.25299141397422,60.0
2021-03-09,62.13298544313355,65.0
2021-03-10,63.08070931656189,55.0
2021-03-11,60.93928499730389,63.0
2021-03-12,55.55144382629737,100.0
2021-03-13,69.86862670574148,67.0
2021-03-14,57.57377755547297,86.0
2021-03-15,56.657985366225084,81.0
2021-03-16,49.2809426585304,67.0
2021-03-17,59.007408072647415,55.0
2021-03-18,47.232690504529074,50.0
2021-03-19,51.66085168023951,45.0
2021-03-20,68.02295901882972,70.0
2021-03-21,41.99066724313245,34.0
2021-03-22,48.238521768968205,75.0
2021-03-23,65.13622738545445,98.0
2021-03-24,84.24865649825304,77.0
2021-03-25,103.36846524005736,141.0
2021-03-26,91.35349009486063,87.0
2021-03-27,57.30843187771173,54.0
2021-03-28,55.507700015898536,65.0
2021-03-29,57.916675318073715,37.0
2021-03-30,70.61092088887153,44.0
2021-03-31,66.65486648659534,30.0
2021-04-01,78.60980578202148,28.0
2021-04-02,82.52503505893378,32.0
2021-04-03,73.91653977979817,46.0
2021-04-04,67.04604476221749,46.0
2021-04-05,80.6375815022089,52.0
2021-04-06,82.71550672424549,159.0
2021-04-07,72.09541862540587,75.0
2021-04-08,43.22813556122315,37.0
2021-04-09,65.5802432960592,43.0
2021-04-10,63.56434572351689,80.0
2021-04-11,85.60363392338115,119.0
2021-04-12,56.581987049044066,76.0
2021-04-13,59.68108086656762,109.0
2021-04-14,69.69062709097975,53.0
2021-04-15,47.87147925650295,35.0
2021-04-16,47.44020524935257,52.0
2021-04-17,59.617764436173914,43.0
2021-04-18,93.2194762563468,65.0
2021-04-19,82.56360061109334,77.0
2021-04-20,73.7254613926458,92.0
2021-04-21,63.10017961774053,110.0
2021-04-22,59.60721336472237,100.0
2021-04-23,83.24832482284143,112.0
2021-04-24,78.75223370968064,55.0
2021-04-25,54.61084704729933,38.0
2021-04-26,57.495886795219356,50.0
2021-04-27,44.75523305697129,58.0
2021-04-28,38.55033875754503,44.0
2021-04-29,92.2896635541007,65.0
2021-04-30,104.62066268144874,184.0
2021-05-01,94.23294805342867,123.0
2021-05-02,73.99395355912915,56.0
2021-05-03,50.828282412675826,37.0
2021-05-04,53.6000557748668,40.0
2021-05-05,54.04339027251256,82.0
2021-05-06,50.93563219131567,75.0
2021-05-07,42.93259382531819,89.0
