,city,precision
0,东莞,0.7244094488188977
1,中山,0.8740157480314961
2,云浮,0.937007874015748
3,佛山,0.8110236220472441
4,广州,0.8503937007874016
5,惠州,0.905511811023622
6,揭阳,0.9133858267716536
7,梅州,0.9291338582677166
8,汕头,0.9133858267716536
9,汕尾,0.8582677165354331
10,江门,0.8582677165354331
11,河源,0.8818897637795275
12,深圳,0.9291338582677166
13,清远,0.8188976377952756
14,湛江,0.9133858267716536
15,潮州,0.8503937007874016
16,珠海,0.9212598425196851
17,肇庆,0.8740157480314961
18,茂名,0.9448818897637795
19,阳江,0.8976377952755905
20,韶关,0.9212598425196851
