time,predict_value1,predict_value2,predict_value3,predict_value4,predict_value5,predict_value6,predict_value7,predict_value0,real
2021-01-01,56.90036257310777,56.38449132319003,77.46370173384878,74.66152930758037,69.53500875145318,60.80745761576357,49.848882705440545,52.93311158744638,40.0
2021-01-02,45.84574355816663,53.12889964876659,67.9020310829353,68.52531890187203,53.83138054259321,59.354906219370825,46.38858557199064,48.65198354770187,55.0
2021-01-03,61.32392075277672,64.70562092561703,72.53537125070663,71.48746509224132,65.44246951893984,66.84097410867328,63.84866291788619,66.26394755627891,83.0
2021-01-04,66.68693717415212,56.188622074768055,64.28891922619212,62.383078237653564,57.843539565492094,59.805724595644804,58.66386172026901,65.3396463072175,68.0
2021-01-05,74.3033009866429,89.29718438702714,78.92141865941919,77.71560547457561,72.65965955032802,80.57132268303063,85.48139444082214,83.54906774661364,75.0
2021-01-06,69.05207704459093,63.67134115857101,68.56937832808799,60.7372022900835,66.44384557342806,63.22175722928307,63.53029994178011,72.85788421810497,75.0
2021-01-07,62.73743889803752,61.67987585137586,54.659822292150885,60.33834579889277,56.18296587200146,56.860407383454394,60.22094410495824,58.41721313978764,73.0
2021-01-08,61.68001238601701,57.479956766643625,71.83952411877077,56.19972876182735,58.04968770922397,51.48811669920747,53.476307542127564,52.871771934435316,41.0
2021-01-09,51.09758197409543,60.199786582770656,65.01140096293713,59.92875732771199,51.702911341362125,53.59992383171929,54.314548673597635,47.997318143137164,37.0
2021-01-10,49.293862514408936,55.57831073549732,72.29783577018165,71.64085108323876,58.32099469292985,49.335850450931325,59.46494856477868,50.77707441389511,40.0
2021-01-11,52.29041220736102,57.5936989721135,66.73924634810908,73.79638355487664,63.83478074078923,62.07845244785981,63.28284866190969,65.70110553565009,41.0
2021-01-12,57.33437493656262,62.07611647914814,63.15700140522896,63.031293288585964,65.48005129053436,62.6451041288874,65.66052449901947,65.90891873834123,59.0
2021-01-13,68.35715988186425,62.27154204679414,64.9305561267081,62.76797085835899,62.54424395484198,57.86216944478761,65.09741221735798,63.76332911385062,94.0
2021-01-14,100.18867296853814,70.53111321421929,71.49956561723059,75.04741505659749,67.67674265989251,71.41556795747296,79.51849509848721,69.0354987193781,117.0
2021-01-15,114.97249746068917,105.29295183647233,89.01808969397517,89.8837403484115,91.57123334620937,86.85824062699187,98.17658900306296,87.97582573529844,115.0
2021-01-16,112.16356488096189,106.35922365803303,96.89269251541616,96.52865713971664,109.6316282859217,96.18721164483473,93.96985711881142,92.35570672217422,143.0
2021-01-17,102.06144639102604,85.59738771640507,89.39872991292869,74.22343437443065,70.98192317728774,67.45002335741341,67.61219207646246,67.61656437832191,76.0
2021-01-18,91.40250768948316,99.96405693215809,98.34992865455362,82.74512383110391,79.4830905706633,68.73809331696313,70.3624356916709,67.84089983815352,70.0
2021-01-19,82.93724437596893,82.71616883786186,101.86249097657918,99.28137115555823,92.26307296922029,79.67111577875144,83.73478434593272,70.95571928872405,97.0
2021-01-20,96.10189928500127,99.8729383228961,106.33999114766851,109.75959355927652,97.93365626559331,90.43057707884545,94.07894421085044,75.49948580098793,101.0
2021-01-21,101.64392698475507,109.97258282403118,94.70745653914209,105.41971534965163,111.2609724652517,96.76346596326285,97.70300973354146,82.79474398282635,127.0
2021-01-22,144.8285970408709,104.09150870969351,97.21632556916276,117.54438134747663,101.35411082695639,109.56180507396246,103.74447996119424,95.2214723617674,79.0
2021-01-23,83.32707125799459,115.63979399942836,102.54937580069863,106.4171486560056,102.61092642979742,100.67184384832582,98.21619954317586,103.51734683307801,53.0
2021-01-24,79.59727464102302,86.74052974707885,104.62780621878042,87.25117985089719,89.47084131810023,79.53404672969175,87.00567326278562,84.44512344551931,66.0
2021-01-25,79.72559342125739,87.39284564720766,96.47406828824025,88.89819946831642,101.17406621934782,85.6631499993397,82.9527724748491,87.19056612665224,104.0
2021-01-26,100.31822263617738,86.02755867185061,88.44915627503289,87.93780349290391,95.94379507547481,91.80215816978979,90.4525258547808,90.76639254174528,96.0
2021-01-27,83.40495605779874,74.35758968550482,75.23044765252098,78.10192157524943,84.0323728959897,81.46477337113664,80.17410804361234,82.69764183503834,102.0
2021-01-28,82.93065617026737,72.65615853313045,60.720286019296175,60.89959082738252,62.935560435059905,67.14636060578508,72.09192024582856,70.30477923741977,53.0
2021-01-29,64.69459604805303,70.88582446332641,64.59884761374977,61.95584503054398,58.814372665219715,70.72027868367634,61.104760769436474,60.49962318194343,90.0
2021-01-30,76.15065149138859,70.48114894696462,76.04358806155166,75.163291225734,81.41227209243303,81.1209894431818,72.52577510219793,71.48025360648164,134.0
2021-01-31,102.998717959932,81.44513421907466,77.8506824613938,85.39495282960668,81.45750577966885,83.77846974745664,72.80577413274942,76.54562446156207,103.0
2021-02-01,86.20266870490644,86.35143584680411,77.56416608490021,65.47762429676301,85.02055479060898,83.33950655185028,68.83054034328873,70.4756127071305,113.0
2021-02-02,108.43534857370521,90.26102162351962,74.83893725231697,79.22167085046483,85.52177067466883,92.39548933483435,77.73037008884607,84.09865548333428,90.0
2021-02-03,86.44177962671252,91.42131442098619,78.51629069321258,86.25679732361135,82.39377122997105,84.4317161426469,68.54412551993701,83.90380140705153,115.0
2021-02-04,87.79283607309324,82.88665233358465,76.6224289248643,81.35268326872323,83.99098669481982,75.96348272664258,69.12424368074335,79.37519179394678,134.0
2021-02-05,101.3372533240582,94.01620144953596,70.51292582811071,93.81480430616986,77.3705500098363,82.93922440136402,64.0001224769566,73.3468778661647,102.0
2021-02-06,100.66506882406752,106.31922034317175,77.45868723674597,80.10957465984602,85.73944431572185,85.05319608838292,77.52217152084971,70.92966087914421,109.0
2021-02-07,100.2763048364448,93.106697564454,77.51735212630787,85.39374867353749,80.95911317084729,95.466124426676,78.47110477328395,76.86032079993295,118.0
2021-02-08,90.55478662578713,85.03956400842819,73.5917132635615,79.36041309813315,84.74511406434988,68.34400642748733,66.16094278087822,70.2690550084811,79.0
2021-02-09,55.20609887829052,59.227843837426654,54.04015400877849,64.29158965446713,53.72602244499296,60.08211161386561,46.78720007241137,44.733804004216054,40.0
2021-02-10,44.457103168176594,46.44117194058578,51.86720672358767,48.82003723567361,49.033713481848885,49.37332560784265,42.93675934160899,41.95731067248049,23.0
2021-02-11,44.51009013313069,56.712200871594995,66.45034381617394,62.9557948794664,60.76871703536316,63.777995753643125,51.000998263545306,53.20696102770489,28.0
2021-02-12,52.87581087200171,58.27361938271297,69.28471380927843,65.9936267339254,73.87631260703903,60.908840681890254,63.71253381456697,58.07528194371303,40.0
2021-02-13,62.244163264689504,70.3181544644329,86.5601499608748,71.21286290115414,78.61088854385947,75.2162040635677,80.16120101038852,68.22076149060771,47.0
2021-02-14,71.39109477578947,80.98231683435435,89.17291182003693,82.47063233114918,84.93607795087541,82.55523442709186,78.63770819413979,81.08000624372387,72.0
