time,predict_value0,real
2021-01-01,57.93838008011776,34.0
2021-01-02,52.12364730884999,45.0
2021-01-03,67.59933011139937,55.0
2021-01-04,67.95017753998748,53.0
2021-01-05,57.8806209104943,67.0
2021-01-06,63.10574573656734,99.0
2021-01-07,60.71082642698526,87.0
2021-01-08,59.4564314107376,40.0
2021-01-09,52.81936678814765,33.0
2021-01-10,60.78796596660954,37.0
2021-01-11,68.415830619778,51.0
2021-01-12,64.09982621925563,48.0
2021-01-13,66.69360143157667,65.0
2021-01-14,74.18178602852235,80.0
2021-01-15,102.19335524407013,130.0
2021-01-16,112.53318263701723,119.0
2021-01-17,73.20501714850191,92.0
2021-01-18,60.36404948282934,79.0
2021-01-19,76.70981992841153,79.0
2021-01-20,83.07116595300144,95.0
2021-01-21,70.36547828010302,63.0
2021-01-22,100.33766111713435,42.0
2021-01-23,104.50548852767733,63.0
2021-01-24,109.44433027269993,80.0
2021-01-25,107.99190893367285,82.0
2021-01-26,79.62731418385101,47.0
2021-01-27,80.99267505398596,60.0
2021-01-28,56.606835203809574,54.0
2021-01-29,61.7041281602462,71.0
2021-01-30,93.61115019530898,77.0
2021-01-31,103.37972448657169,123.0
2021-02-01,98.03605082538309,74.0
2021-02-02,79.49484700015564,84.0
2021-02-03,90.58745943981612,103.0
2021-02-04,89.97242796035134,123.0
2021-02-05,87.15396470319472,96.0
2021-02-06,87.92732703976719,97.0
2021-02-07,91.87784681081926,118.0
2021-02-08,81.44150000876628,79.0
2021-02-09,46.17666801448648,28.0
2021-02-10,43.58816061520797,28.0
2021-02-11,36.3654218382013,34.0
2021-02-12,52.53693987288208,39.0
2021-02-13,58.27923095067508,46.0
2021-02-14,76.02609473227905,55.0
2021-02-15,77.7675916566857,67.0
2021-02-16,66.98055294764711,68.0
2021-02-17,49.12269702193682,49.0
2021-02-18,48.79827712710225,62.0
2021-02-19,71.46542690553977,70.0
2021-02-20,94.23367767747419,90.0
2021-02-21,107.67709681722215,118.0
2021-02-22,106.77195771844812,103.0
2021-02-23,103.96511161820487,128.0
2021-02-24,70.6198603298078,95.0
2021-02-25,67.06887126741152,44.0
2021-02-26,49.378378949417936,30.0
2021-02-27,32.57106310491497,23.0
2021-02-28,43.25080709135829,38.0
2021-03-01,41.85491244507934,48.0
2021-03-02,28.88715558443747,33.0
2021-03-03,35.45823818751138,32.0
2021-03-04,35.591881176205085,35.0
2021-03-05,54.71102377732704,43.0
2021-03-06,48.1523932826797,49.0
2021-03-07,38.87594744765003,29.0
2021-03-08,56.064069842334604,37.0
2021-03-09,50.05980551738623,55.0
2021-03-10,45.92322545206849,46.0
2021-03-11,60.43156224855389,58.0
2021-03-12,57.054964445264645,43.0
2021-03-13,69.53270810449521,50.0
2021-03-14,71.59853426613437,87.0
2021-03-15,57.46827479238748,96.0
2021-03-16,52.863311680062836,96.0
2021-03-17,69.64897381257163,109.0
2021-03-18,54.722661288023204,80.0
2021-03-19,59.17658668598287,76.0
2021-03-20,54.68709104022189,50.0
2021-03-21,24.24075237580362,27.0
2021-03-22,32.59994953492911,82.0
2021-03-23,64.90942391678215,98.0
2021-03-24,84.02882643558418,76.0
2021-03-25,99.55462291429488,88.0
2021-03-26,106.05250884887549,120.0
2021-03-27,81.05019108767485,83.0
2021-03-28,84.58546099706459,88.0
2021-03-29,68.79449973360059,58.0
2021-03-30,84.58032858022985,65.0
2021-03-31,59.15902257290194,45.0
2021-04-01,92.74721774791625,43.0
2021-04-02,92.04182983243149,50.0
2021-04-03,90.57960529980927,58.0
2021-04-04,53.32754991236182,27.0
2021-04-05,67.51780339359652,40.0
2021-04-06,103.53142501620917,55.0
2021-04-07,87.67941901802216,60.0
2021-04-08,47.55146106420054,33.0
2021-04-09,51.50226996328644,36.0
2021-04-10,80.65365181122074,55.0
2021-04-11,109.52087125224774,153.0
2021-04-12,85.46917462429403,119.0
2021-04-13,75.31587202745061,126.0
2021-04-14,77.62386374013533,89.0
2021-04-15,52.60209504433363,38.0
2021-04-16,45.742391018177834,35.0
2021-04-17,46.57825296940358,40.0
2021-04-18,39.43042488632142,46.0
2021-04-19,37.32955794153755,47.0
2021-04-20,61.139733050476885,74.0
2021-04-21,66.54035488569185,116.0
2021-04-22,73.94838413256866,90.0
2021-04-23,88.86897651641695,150.0
2021-04-24,73.39503555583447,104.0
2021-04-25,49.42442013502761,35.0
2021-04-26,38.80548372592712,34.0
2021-04-27,42.79512623516312,39.0
2021-04-28,42.86825585591991,28.0
2021-04-29,65.00947566392671,69.0
2021-04-30,115.1719654740017,144.0
2021-05-01,85.3428780399944,118.0
2021-05-02,75.67996512113832,88.0
2021-05-03,64.55808740189079,47.0
2021-05-04,52.96264090965772,49.0
2021-05-05,43.84766940928229,62.0
2021-05-06,54.153986041828446,90.0
2021-05-07,43.289599647066844,94.0
