time,predict_value0,real
2021-01-01,46.62594343608053,49.0
2021-01-02,55.14752937497024,54.0
2021-01-03,65.44808677686119,63.0
2021-01-04,70.6940793379133,63.0
2021-01-05,70.58433149844417,57.0
2021-01-06,57.74322398731458,73.0
2021-01-07,43.29442693391787,54.0
2021-01-08,53.919237348357385,38.0
2021-01-09,49.74128682396298,34.0
2021-01-10,62.949919235188666,42.0
2021-01-11,72.37165596158037,39.0
2021-01-12,67.43109492866273,54.0
2021-01-13,73.06602238608167,63.0
2021-01-14,79.22904762397533,68.0
2021-01-15,97.6683287057907,75.0
2021-01-16,92.7438722592322,78.0
2021-01-17,71.82519740772543,79.0
2021-01-18,72.94404572016197,63.0
2021-01-19,86.65395887265858,65.0
2021-01-20,91.83744505251946,68.0
2021-01-21,101.89278458229087,60.0
2021-01-22,100.76632507046736,52.0
2021-01-23,77.2579598678684,42.0
2021-01-24,76.4096552141861,60.0
2021-01-25,68.59746655391385,58.0
2021-01-26,73.86164690765149,53.0
2021-01-27,70.54161465195034,44.0
2021-01-28,51.0233042114307,40.0
2021-01-29,58.707817510337755,50.0
2021-01-30,69.49598112914906,72.0
2021-01-31,72.22840601326095,65.0
2021-02-01,62.16284372564025,49.0
2021-02-02,73.13717750249414,61.0
2021-02-03,62.64483132470537,74.0
2021-02-04,65.02884967898741,81.0
2021-02-05,62.306515077903676,65.0
2021-02-06,73.25907276933393,70.0
2021-02-07,69.97180777009623,70.0
2021-02-08,61.17445843105836,79.0
2021-02-09,37.12956137645149,46.0
2021-02-10,33.42251556339808,29.0
2021-02-11,34.34152546306061,23.0
2021-02-12,34.11496964853512,85.0
2021-02-13,54.260595860862836,38.0
2021-02-14,84.91696721432656,42.0
2021-02-15,87.46008808472673,46.0
2021-02-16,83.2263888523171,51.0
2021-02-17,60.12430256502672,39.0
2021-02-18,63.04785372135351,47.0
2021-02-19,69.93289234271109,58.0
2021-02-20,69.4018732691257,61.0
2021-02-21,81.50326292669777,84.0
2021-02-22,78.84844610213281,85.0
2021-02-23,82.56044343493768,86.0
2021-02-24,75.78308635248203,70.0
2021-02-25,55.33317621908716,46.0
2021-02-26,56.363735985086315,35.0
2021-02-27,56.730682831717054,25.0
2021-02-28,81.96804747612025,35.0
2021-03-01,84.20637243035014,43.0
2021-03-02,56.82314486353381,33.0
2021-03-03,47.82003360530285,28.0
2021-03-04,43.57582954835243,42.0
2021-03-05,50.241374934929354,46.0
2021-03-06,47.023221242564496,35.0
2021-03-07,33.006874336193036,23.0
2021-03-08,46.665790043565316,30.0
2021-03-09,45.75784700599924,46.0
2021-03-10,54.81114035355852,55.0
2021-03-11,47.03120428690103,52.0
2021-03-12,42.19287653352959,40.0
2021-03-13,42.39408624012163,43.0
2021-03-14,54.999431057221436,66.0
2021-03-15,56.105317194817566,60.0
2021-03-16,52.01168777664807,58.0
2021-03-17,59.28009261576317,56.0
2021-03-18,52.10733925237577,51.0
2021-03-19,40.19485875191959,49.0
2021-03-20,41.97904517754972,67.0
2021-03-21,25.586858584153184,33.0
2021-03-22,23.613854569503662,52.0
2021-03-23,41.995035006130635,64.0
2021-03-24,57.87012878912058,56.0
2021-03-25,79.46588025260678,74.0
2021-03-26,84.74783535127162,70.0
2021-03-27,59.94381439240631,56.0
2021-03-28,80.00837933110795,71.0
2021-03-29,65.55224116492529,70.0
2021-03-30,70.79256985606666,40.0
2021-03-31,71.79677575956204,42.0
2021-04-01,82.85125325777256,39.0
2021-04-02,71.57506690171112,38.0
2021-04-03,74.3222664770317,73.0
2021-04-04,58.09654946349735,39.0
2021-04-05,69.38880440243045,35.0
2021-04-06,73.79846280042597,49.0
2021-04-07,65.95230433415861,79.0
2021-04-08,42.951738424042084,47.0
2021-04-09,41.82616864386565,34.0
2021-04-10,68.87783520790956,74.0
2021-04-11,91.59585370058608,99.0
2021-04-12,94.85744391669277,50.0
2021-04-13,82.39739572326113,83.0
2021-04-14,57.62243674711421,63.0
2021-04-15,46.220747347238365,41.0
2021-04-16,43.63128690521187,43.0
2021-04-17,61.452402082295514,29.0
2021-04-18,49.196311650214525,63.0
2021-04-19,35.37004628511899,66.0
2021-04-20,56.47346148343313,41.0
2021-04-21,64.94370667118412,87.0
2021-04-22,66.85883013461292,93.0
2021-04-23,85.36690049414163,59.0
2021-04-24,62.40014444936907,83.0
2021-04-25,57.452395727772114,36.0
2021-04-26,54.78025085088854,34.0
2021-04-27,41.34966979668386,31.0
2021-04-28,38.63434633337318,30.0
2021-04-29,77.00207465398607,50.0
2021-04-30,105.17588027716761,70.0
2021-05-01,106.41869548268492,113.0
2021-05-02,102.34376555118406,83.0
2021-05-03,52.19747091440154,39.0
2021-05-04,53.57008567401314,32.0
2021-05-05,51.15923984489933,55.0
2021-05-06,43.692900987256124,64.0
2021-05-07,38.59817330310757,82.0
