time,predict_value1,predict_value2,predict_value3,predict_value4,predict_value5,predict_value6,predict_value7,predict_value0,real
2021-01-01,49.49579381027442,49.74847109341355,52.866805043067565,65.01868170850958,56.85843702796432,54.12308851085312,41.75478993793937,51.171036491194364,42.0
2021-01-02,57.75273248220533,55.392129382305534,79.09128919325428,64.2209107629071,72.96161342081578,62.757357422682,57.05337919225043,60.720811233320845,57.0
2021-01-03,64.52596744490896,63.73474930487061,73.482138236367,76.45509056939387,77.96320092095618,74.46882928436905,70.7936431642481,63.433749455242406,78.0
2021-01-04,72.99746602605335,64.67679029163682,65.23327660253403,66.50967269520238,58.20361960641127,59.71982969136822,72.26559908065283,63.725436616866816,59.0
2021-01-05,61.79561845248225,77.0932918099324,65.18615612817999,66.23892906458859,59.067439010446684,68.91042204063461,69.42948736011328,67.0234252077021,68.0
2021-01-06,58.83918968637818,56.765012123931875,67.09620009399939,65.1878639892089,58.69245533499671,56.268427571295426,65.64560686288436,55.75523473205105,73.0
2021-01-07,52.22530740259449,55.58909060033257,52.95751762551885,52.279273223210375,50.72401232950365,49.946611349310814,53.40081061335501,49.761421249751095,85.0
2021-01-08,56.57248106614924,50.55677964077836,54.73117048745016,51.3659299647162,57.87164353745496,47.72566181846796,52.44551268945157,49.86167004316105,26.0
2021-01-09,46.141559228335204,48.130914438528485,60.16422418280142,57.79229799836271,55.84985008988905,46.74014582600892,51.374141965213774,48.98905658479203,40.0
2021-01-10,53.554263177533535,50.34905025020144,68.03432682901614,66.38390917193664,56.70639834731585,50.01497693945768,58.19811339750338,57.021013819580176,46.0
2021-01-11,53.17992220457719,51.02344707143179,56.5676831410743,60.21866212974819,61.7694986887704,52.95760682137402,61.05617551873136,62.60922560546205,46.0
2021-01-12,51.889613360670836,59.075652452167546,55.532400257193856,62.160032799714315,68.98185359081086,53.300163860452486,56.78463313719717,60.23472711270594,56.0
2021-01-13,60.6208018244866,56.51989574813336,57.64496714559495,60.94113020020157,59.67124537525987,70.64885344515201,63.502882490877006,63.13862652072006,74.0
